name 1号线
numSite 28
colour 0xE70012
fromTo 富锦路 莘庄
富锦路 31.3948771 121.4197766
友谊西路 31.3837478 121.4231229
宝安公路 31.3721781 121.4261394
共富新村 31.3577078 121.4293774
呼兰路 31.3423077 121.4328088
通河新村 31.3335374 121.4366581
共康路 31.3217132 121.4420573
彭浦新村 31.3074975 121.4439674
汶水路 31.2945085 121.4456298
上海马戏城 31.2811762 121.4475394
延长路 31.2732429 121.4510121
中山北路 31.2614891 121.45447
上海火车站 31.2520583 121.4523857
汉中路 31.2437618 121.4537166
新闸路 31.2405472 121.4636467
人民广场 31.2343072 121.471544
黄陂南路 31.2249483 121.4693387
陕西南路 31.2189174 121.4552565
常熟路 31.2151406 121.4464941
衡山路 31.2076988 121.4429212
徐家汇 31.1950824 121.4338887
上海体育馆 31.1838665 121.4317564
漕宝路 31.1702714 121.4303461
上海南站 31.1556231 121.4271388
锦江乐园 31.1440768 121.4095039
莲花路 31.1328416 121.3982765
外环路 31.1228305 121.3883431
莘庄 31.1110347 121.3798759
==========
